ECO,ECO_move
E43,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E44,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E45,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E46,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E47,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E48,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E49,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E50,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E51,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E52,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E53,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E54,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E55,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E56,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E57,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E58,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E59,1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
E60,1. d4 Nf6 2. c4 g6
E61,1. d4 Nf6 2. c4 g6
E62,1. d4 Nf6 2. c4 g6
E63,1. d4 Nf6 2. c4 g6
E64,1. d4 Nf6 2. c4 g6
E65,1. d4 Nf6 2. c4 g6
E66,1. d4 Nf6 2. c4 g6
E67,1. d4 Nf6 2. c4 g6
E68,1. d4 Nf6 2. c4 g6
E69,1. d4 Nf6 2. c4 g6
E70,1. d4 Nf6 2. c4 g6
E71,1. d4 Nf6 2. c4 g6
E72,1. d4 Nf6 2. c4 g6
E73,1. d4 Nf6 2. c4 g6
E74,1. d4 Nf6 2. c4 g6
E75,1. d4 Nf6 2. c4 g6
E76,1. d4 Nf6 2. c4 g6
E77,1. d4 Nf6 2. c4 g6
E78,1. d4 Nf6 2. c4 g6
E79,1. d4 Nf6 2. c4 g6
E80,1. d4 Nf6 2. c4 g6
E81,1. d4 Nf6 2. c4 g6
E82,1. d4 Nf6 2. c4 g6
E83,1. d4 Nf6 2. c4 g6
E84,1. d4 Nf6 2. c4 g6
E85,1. d4 Nf6 2. c4 g6
E86,1. d4 Nf6 2. c4 g6
E87,1. d4 Nf6 2. c4 g6
E88,1. d4 Nf6 2. c4 g6
E89,1. d4 Nf6 2. c4 g6
E90,1. d4 Nf6 2. c4 g6
E91,1. d4 Nf6 2. c4 g6
E92,1. d4 Nf6 2. c4 g6
E93,1. d4 Nf6 2. c4 g6
E94,1. d4 Nf6 2. c4 g6
E95,1. d4 Nf6 2. c4 g6
E96,1. d4 Nf6 2. c4 g6
E97,1. d4 Nf6 2. c4 g6
E98,1. d4 Nf6 2. c4 g6
E99,1. d4 Nf6 2. c4 g6
